Collection_No	Collection_Date	Genus	Species	Race	Sex	General_Notes	WildOrReared	Collection_No	Collection_Site	Dept._Province	Country	Latitude	Longitude	Altitude	Collector	Collection_Notes	IsWild
C455		Heliconius	erato	hydara	f	Nic please fix this date - it said 7/08/1902	Wild	C455	Parcela 33 Villeta - Guaduas 23.6 km		Colombia						wild
C456		Heliconius	erato	hydara	f	Nic please fix this date - it said 7/08/1902	Wild	C456	Parcela 33 Villeta - Guaduas 23.6 km		Colombia						wild
C457		Heliconius	erato	hydara	f	Nic please fix this date - it said 7/08/1902	Wild	C457	Parcela 33 Villeta - Guaduas 23.6 km		Colombia						wild
C528	5/29/1998	Heliconius	melpomene	melpomene	f		Wild	C528	Pointe Macouria		French Guyana						wild
C57		Heliconius	erato	chestertonii x venus	m	Nic please fix this date - it said 5/05/1902	Wild	C57	"Finca La Delicias-Qbda. La Guinea, on Cali-Buenaventura road past Tunel #3"		Colombia						wild
C58		Heliconius	melpomene	vulcanus	m	Nic please fix this date - it said 5/05/1902	Wild	C58	"Finca La Delicias-Qbda. La Guinea, on Cali-Buenaventura road past Tunel #3"		Colombia						wild
C59		Heliconius	melpomene	vulcanus	m	Nic please fix this date - it said 5/05/1902	Wild	C59	La Gloria Cali- Buenaventura road at Tuenl #3		Colombia						wild
C628	8/19/1998	Heliconius	melpomene	rosina	f		Wild	C628	Pipeline road		Panama						wild
C65		Heliconius	erato	chestertonii	m	Nic please fix this date - it said 5/05/1902	Wild	C65	La Gloria Cali- Buenaventura road at Tuenl #3		Colombia						wild
C66		Heliconius	erato	chestertonii	m	Nic please fix this date - it said 5/05/1902	Wild	C66	La Gloria Cali- Buenaventura road at Tuenl #3		Colombia						wild
C841	11/26/1998	Heliconius	melpomene	rosina	f		Wild	C841	Madden Hwy 4km from Gamboa turnoff		Panama						wild
FG0	10/28/2000	Heliconius	erato	erato			Wild	FG0	"Montjoly, Regine Crique Blanch"	Cayenne	French Guiana	4.534516667	52.37348333	-3.048		"DDK, WOM"	wild
								FG0	Emerald Jungle Village to Kaw Marsh & return! Right turn 0.1 k  off of regine / roura rd int. towards roura	Cayenne	French Guiana	4.802283333	52.3644	-6.096		"DDK, WOM, CREW"	wild
FG1	10/27/2000	Heliconius	erato	erato	Male		Wild	FG1	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Bfly farm just down road to Cacao"	Cayenne	French Guiana	4.568116667	52.40521667	45.1104		"DDK, WOM"	wild
FG10	10/27/2000	Heliconius	spp 1		Unknown	White patches & skinny wings	Wild	FG10	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	White patches & skinny wings	"DDK, WOM"	wild
FG100	11/2/2000	Heliconius	melpomene		Male		Wild	FG100	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG101	11/2/2000	Heliconius	melpomene		Male		Wild	FG101	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG102	11/2/2000	Heliconius					Wild	FG102	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG103	11/2/2000	Heliconius					Wild	FG103	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG104	11/2/2000	Heliconius	melpomene	thexilope	Male		Wild	FG104	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
