PR29	8/28/1999	Heliconius	erato	petiverana	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR30	10/20/1999	Heliconius	himera		f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR31	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR32	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR33	10/20/1999	Heliconius	erato	etylus	f		Reared
PR34	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR35	10/20/1999	Heliconius	himera		f	INEFAN?	Reared
PR36	10/20/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR37	10/27/1999	Heliconius	himera		f		Reared
PR38	10/27/1999	Heliconius	erato	etylus	f		Reared
PR39	10/27/1999	Heliconius	hybrid erato x himera	petiverana x himera	m		Reared
PR40	10/27/1999	Heliconius	hybrid erato x himera	petiverana x himera	m		Reared
PR41	10/27/1999	Heliconius	hybrid erato x himera	petiverana x himera	m		Reared
PR42	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR43	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR44	10/27/1999	Heliconius	himera		m		Reared
PR45	10/27/1999	Heliconius	himera		m		Reared
PR46	10/27/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR47	10/27/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR48	10/27/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR49	10/27/1999	Heliconius	erato	etylus	f		Reared
PR50	10/27/1999	Heliconius	erato	etylus	f		Reared
PR51	10/27/1999	Heliconius	himera		m		Reared
PR52	10/27/1999	Heliconius	himera		m		Reared
PR53	10/27/1999	Heliconius	himera		m		Reared
PR54	10/27/1999	Heliconius	erato	petiverana	m		Reared
PR55	10/11/1999	Heliconius	charithonia		m	In captive population, L.E. Gilbert's lab. 	Wild
PR56	10/11/1999	Heliconius	charithonia		m	In captive population, L.E. Gilbert's lab. 	Wild
PR57	10/11/1999	Heliconius	charithonia		m	In captive population, L.E. Gilbert's lab. 	Wild
