PR137	11/29/1999	Heliconius	erato	cyrbia	f		Reared	PR137					cyrbia	mother	Cy(CH)2	wings only						Reared	
PR138	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR138					cyrbia x himera	mother	(CH)Cy2	This is the mother of CHCy2						Reared	
PR139	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR139					cyrbia x himera	mother	(CH)Cy3	This the mother of CHCy3						Reared	
PR140	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR140			CyHiB2		cyrbia x himera	mother	(CH)Hi4	Female parent of CHHi4.						Reared	
PR141	11/16/1999	Heliconius	erato	notabilis	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR141														Reared	
PR142	11/15/1999	Heliconius	erato	etylus	f		Reared	PR142			etylus		etylus	mother	EtHi8	This is female parent of EtHi8	etylus	etylus	NA	NA	Stock	Reared	
PR145	11/19/1999	Heliconius	himera		m		Reared	PR145								found in cage 18; Nic Fix = wild or reared?						Reared	
PR146	11/19/1999	Heliconius	himera		f		Reared	PR146					cyrbia	mother	Hi(CH)2							Reared	
PR147	11/20/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR147					cyrbia x himera	mother	(CyHi6)							Reared	
PR149	11/19/1999	Heliconius	himera		m		Reared	PR149					etylus	father	(EH)Hi1							Reared	
PR150	11/19/1999	Heliconius	himera		f		Reared	PR150					himera	mother	HBr10							Reared	
PR151	11/19/1999	Heliconius	himera		f		Reared	PR151								found in pet cage; Nic fix = wild or reared?						Reared	
PR152	11/19/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR152					etylus x himera	F1	EtHi4	Nic Fix; This brood doesn’t exist in cross record...what’s the status; found in pet cage						Reared	
PR153	11/21/1999	Heliconius	erato	cyrbia	m		Reared	PR153					cyrbia	father2/2	(CH)Cy2	Nic fix, who is getting “her 2nd mating”						Reared	
PR154	11/22/1999	Heliconius	hybrid erato x himera	etylus x himera	m		Reared	PR154					etylus x himera	father	Hi(EH)3							Reared	
PR155	11/22/1999	Heliconius	hybrid erato x himera	cyrbia x himera		NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?	Reared	PR155	cyrbia	notabilis			cyrbia x himera	F1	(CyHi6)	NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?						Reared	
PR156	11/22/1999	Heliconius	hybrid erato x himera	cyrbia x himera		NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?	Reared	PR156	cyrbia	notabilis			cyrbia x himera	F1	(CyHi6)	NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?						Reared	
PR157	11/15/1999	Heliconius	hybrid erato x himera	etylus x himera	f/m		Reared	PR157					etylus x himera	pa/ma???	(EH)Et1							Reared	
PR158	11/22/1999	Heliconius	himera		f		Reared	PR158					etylus	mother	Hi(EH)3							Reared	
PR159	11/22/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR159					etylus x himera	F1	EtHi6	Nic Fix; This brood doesn’t exist in cross record...what’s the status; 						Reared	
PR160	11/27/1999	Heliconius	erato	notabilis	f		Reared	PR160			notabalis		notabilis	mother	NoHi1	Female parent of NoHi1	notabalis	notabalis	NA	NA	Stock	Reared	
PR161	11/30/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR161					cyrbia x himera	mother	(CH)Cy5	Nic Fix this is not in cross record						Reared	
PR162	11/30/1999	Heliconius	hybrid erato x himera	etylus x himera	m		Reared	PR162					etylus x himera	F1	EtHi6	Nic Fix; This brood doesn’t exist in cross record...what’s the status						Reared	
PR163	11/30/1999	Heliconius	hybrid erato x himera	etylus x himera	m		Reared	PR163					etylus x himera	F1	EtHi6	Nic Fix; This brood doesn’t exist in cross record...what’s the status						Reared	
PR164	11/30/1999	Heliconius	himera		f		Reared	PR164					cyrbia	mother	Hi(CH)4							Reared	
PR165	11/23/1999	Heliconius	himera		m		Reared	PR165					etylus	father	Hi(EH)2							Reared	
PR166	11/23/1999	Heliconius	himera		m		Reared	PR166					etylus	father	Hi(EH)1							Reared	
PR167	11/23/1999	Heliconius	himera		m		Reared	PR167					etylus	father	(EH)Hi2							Reared	
PR168	11/24/1999	Heliconius	hybrid erato x himera	etylus x himera	m		Reared	PR168					etylus x himera	F1	EtHiB4							Reared	
PR169	11/24/1999	Heliconius	himera		m		Reared	PR169					himera	father	HBr12							Reared	
PR170	11/24/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR170					etylus x himera	F1	EtHi4	Nic Fix; This brood doesn’t exist in cross record...what’s the status						Reared	
PR171	11/24/1999	Heliconius	hybrid erato x himera	cyrbia x himera		NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?	Reared	PR171	cyrbia	notabilis			cyrbia x himera	F1	CyHi6	NIC FIX THIS--how can it be cy x hi and have mother = cy and father = not?						Reared	
PR172	11/24/1999	Heliconius	himera				Reared	PR172					himera	mother	HBr14	Dead on freezing						Reared	
PR173	11/25/1999	Heliconius	hybrid erato x himera	etylus x himera			Reared	PR173					etylus x himera	F1	EtHi6	Nic Fix; This brood doesn’t exist in cross record...what’s the status						Reared	
PR174	11/25/1999	Heliconius	himera		m		Reared	PR174					himera	father	HBr13							Reared	
PR175	11/25/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR175					etylus x himera	mother	(EH)Hi1							Reared	
PR176	11/26/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR176					etylus x himera	F1	EtHi6	Nic Fix; This brood doesn’t exist in cross record...what’s the status						Reared	
PR177	11/27/1999	Heliconius	himera		f		Reared	PR177					etylus	mother	Hi(EH)2							Reared	
PR178	11/27/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR178					etylus x himera	F1	EtHiB4							Reared	
PR179	10/12/1999	Heliconius	himera		m		Reared	PR179			himera		etylus	father	EtHi10	This is the male parent of EtHi10; DEAD ON COLLECTION	himera	himera	NA	NA	Stock	Reared	
PR180	12/14/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR180					cyrbia x himera	father	(CHCH)4	Male parent of CHCH4; This brood not in cross record NIC FIX;						Reared	
PR181	12/14/1999	Heliconius	himera		m		Reared	PR181			himera		etylus	father	EtHi12	Male parent of EtHe12	himera	himera	NA	NA	Stock	Reared	
PR182	12/14/1999	Heliconius	himera		m		Reared	PR182			HBR8		etylus	father	EtHi11	NIC FIX; This is the male parent of EtHi11; Male source (member of brood not yet entered HBR8)						Reared	
PR183	12/15/1999	Heliconius	himera		m		Reared	PR183			himera		etylus	father	EtHi13	Male parent of EtHi13	himera	himera	NA	NA	Stock	Reared	
PR184	7/12/1999	Heliconius	himera		m		Reared	PR184			himera		etylus	father	EtHi9	This is male parent of EtHi9; Male source is said to be HBr10	himera	himera	NA	NA	Stock	Reared	
PR185	10/12/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR185			CyHiB2		cyrbia x himera	father	(CHCH)2	Male parent of CHCH2; 						Reared	
PR186	10/12/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR186			CyHiB2		cyrbia x himera	father	(CHCH)3	Male parent CHCH3; dead on collection; 						Reared	
PR187	4/12/1999	Heliconius	himera		f		Reared	PR187					cyrbia	mother	Hi(CH)1	wings only						Reared	
PR188	7/12/1999	Heliconius	erato	cyrbia	f		Reared	PR188					cyrbia	mother	Cy(CH)3							Reared	
PR189	7/12/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR189			CyHiB2		cyrbia x himera	mother	(CH)Hi3	Female parent of CHHi3 						Reared	
PR190	7/12/1999	Heliconius	himera		f		Reared	PR190					cyrbia	mother	Hi(CH)3							Reared	
